OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	High_level_taxonomy	HL_hit_percent_id	HL_hit_query_cover
FOTU_2171	Fungi_1							Fungi-CCHF66,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Humicola,s__Humicola_sardiniae	89.706	100
FOTU_2172	Fungi_1	Basidiomycota_1	Tremellomycetes_1	Cystofilobasidiales_1	Mrakiaceae_1	Udeniomyces_1	Udeniomyces pyricola 		0	0
FOTU_2173	Fungi_1								0	0
FOTU_2174									0	0
FOTU_2175									0	0
FOTU_2176									0	0
FOTU_2177	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1					0	0
FOTU_2178	Fungi_1	Chytridiomycota_1	Rhizophydiomycetes_1	Rhizophydiales_1					0	0
FOTU_2179	Fungi_1	Ascomycota_1	Eurotiomycetes_1	Eurotiales_1	Trichocomaceae_1	Talaromyces_1	Talaromyces subinflatus 		0	0
FOTU_2180	Fungi_1								0	0
FOTU_2181	Fungi_1	Chytridiomycota_1	Spizellomycetes_1	Spizellomycetales_1					0	0
FOTU_2182									0	0
FOTU_2183	Fungi_1	Chytridiomycota_1	Spizellomycetes_1	Spizellomycetales_1					0	0
FOTU_2184	Rhizaria_1	Cercozoa_1							0	0
FOTU_2185									0	0
FOTU_2186	Fungi_1	Chytridiomycota_1							0	0
FOTU_2187	Fungi_1	Ascomycota_1	Eurotiomycetes_1	Eurotiales_1	Aspergillaceae_1	Penicillium_1	Penicillium olsonii 	Fungi-OEO_O50,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium	92.118	100
FOTU_2188									0	0
FOTU_2189	Fungi_1	Ascomycota_1	Sordariomycetes_1	Coniochaetales_1	Coniochaetaceae_1	Coniochaeta_1			0	0
FOTU_2190									0	0
FOTU_2191	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Geastrales_1	Geastraceae_1	Sphaerobolus_1			0	0
FOTU_2192									0	0
FOTU_2193	Fungi_1	Rozellomycota_1							0	0
FOTU_2194	Fungi_1	Kickxellomycota_1	Ramicandelaberomycetes_1	Ramicandelaberales_1	Ramicandelaberaceae_1	Ramicandelaber_1			0	0
FOTU_2195									0	0
FOTU_2196									0	0
FOTU_2197									0	0
FOTU_2198	Fungi_1	Ascomycota_1	Pezizomycetes_1	Pezizales_1	Pezizaceae_1				0	0
FOTU_2199	Fungi_1	Ascomycota_1	Dothideomycetes_1	Mycosphaerellales_1	Teratosphaeriaceae_1	Acrodontium_1	Acrodontium crateriforme 	Fungi-ZANF21,p__Ascomycota,c__Dothideomycetes,o__Mycosphaerellales,f__Mycosphaerellaceae,g__Zymoseptoria	81.863	100
FOTU_2200									0	0
FOTU_2201									0	0
FOTU_2202									0	0
FOTU_2203									0	0
FOTU_2204	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Pleosporaceae_1	Exserohilum_1			0	0
FOTU_2205									0	0
FOTU_2206									0	0
FOTU_2207	Fungi_1	Ascomycota_1	Orbiliomycetes_1	Orbiliales_1	Orbiliaceae_1				0	0
FOTU_2208	Rhizaria_1	Cercozoa_1							0	0
FOTU_2209	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Dictyosporiaceae_1	Pseudocoleophoma_1	Pseudocoleophoma yunnanensis 		0	0
FOTU_2210									0	0
FOTU_2211	Fungi_1	Chytridiomycota_1	Rhizophlyctidomycetes_1	Rhizophlyctidales_1	Rhizophlyctidaceae_1	Rhizophlyctis_1			0	0
FOTU_2212	Fungi_1	Chytridiomycota_1	Lobulomycetes_1	Lobulomycetales_1					0	0
FOTU_2213	Fungi_1	Ascomycota_1	Sordariomycetes_1	Hypocreales_1	Nectriaceae_1	Rectifusarium_1	Rectifusarium ventricosum 	Fungi-ZANF49,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusarium,s__Fusarium_equiseti	87.129	100
FOTU_2214	Fungi_1	Chytridiomycota_1							0	0
FOTU_2215	Fungi_1	Rozellomycota_1							0	0
FOTU_2216	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1					0	0
FOTU_2217									0	0
