ID,Tube,Trt,Time ,Type,Rep,Weight,Qubit.1,Qubit.2,Sample.Date,Extraction.Date,Notes,,,,,,,,,,
47,S_17hr_Sperm_8,Steamed ,17hrs,Spermosphere,8,248.1,7.07,6.87,6/17/2023,9/6/2023,,,,,,,,,,,
25,S_Plt_Bulk_12,Steamed ,Planting,Bulk.Soil,12,316.7,20.2,20,6/16/2023,9/15/2023,,,,,,,,,,,
31,S_Plt_Bulk_13,Steamed ,Planting,Bulk.Soil,13,301.9,22.2,21.9,6/16/2023,9/15/2023,,,,,,,,,,,
27,S_Plt_Bulk_15,Steamed ,Planting,Bulk.Soil,15,304.9,17.8,17.5,6/16/2023,9/15/2023,,,,,,,,,,,
22,S_Plt_Bulk_16,Steamed ,Planting,Bulk.Soil,16,304.4,12,11.7,6/16/2023,9/15/2023,,,,,,,,,,,
28,S_Plt_Bulk_17,Steamed ,Planting,Bulk.Soil,17,299.1,10.3,10.5,6/16/2023,9/15/2023,,,,,,,,,,,
26,S_Plt_Bulk_19,Steamed ,Planting,Bulk.Soil,19,294.3,14.1,13.9,6/16/2023,9/15/2023,,,,,,,,,,,
30,S_Plt_Bulk_2,Steamed ,Planting,Bulk.Soil,2,310,19,19,6/16/2023,9/15/2023,,,,,,,,,,,
29,S_Plt_Bulk_5,Steamed ,Planting,Bulk.Soil,5,309.8,5.53,5.2,6/16/2023,9/15/2023,,,,,,,,,,,
24,S_Plt_Bulk_6,Steamed ,Planting,Bulk.Soil,6,298.6,21.9,21.5,6/16/2023,9/15/2023,,,,,,,,,,,
23,S_Plt_Bulk_9,Steamed ,Planting,Bulk.Soil,9,304.9,12.1,12.1,6/16/2023,9/15/2023,,,,,,,,,,,
4,S_Plt_Sperm_12,Steamed ,Planting,Spermosphere,12,255.7,11.5,11.5,6/16/2023,9/6/2023,,,,,,,,,,,
10,S_Plt_Sperm_13,Steamed ,Planting,Spermosphere,13,228.4,9.08,8.95,6/16/2023,9/6/2023,,,,,,,,,,,
6,S_Plt_Sperm_15,Steamed ,Planting,Spermosphere,15,254.4,16,16.2,6/16/2023,9/6/2023,,,,,,,,,,,
1,S_Plt_Sperm_16,Steamed ,Planting,Spermosphere,16,248,4.86,5,6/16/2023,9/6/2023,,,,,,,,,,,
