vsearch v2.22.1_linux_x86_64, 1007.5GB RAM, 128 cores
vsearch -fastq_stats trimmed/trimmed.fastq -log stats/stats_results.txt
Started  Tue Jan 23 20:56:16 2024

Read length distribution
      L           N      Pct   AccPct
-------  ----------  -------  -------
>=  518           1     0.0%     0.0%
  161    99.8%  41.0  0.00008  0.000113   0.03   0.000175    0.017%
  162    99.8%  41.0  0.00008  0.000125   0.03   0.000174    0.017%
  163    99.8%  41.0  0.00008  0.000115   0.03   0.000174    0.017%
  164    99.8%  41.0  0.00008  0.000116   0.03   0.000174    0.017%
  165    99.8%  41.0  0.00008  0.000117   0.03   0.000173    0.017%
  166    99.8%  41.0  0.00008  0.000108   0.03   0.000173    0.017%
  167    99.8%  41.0  0.00008  0.000105   0.03   0.000172    0.017%
  168    99.8%  41.0  0.00008  0.000117   0.03   0.000172    0.017%
  169    99.8%  41.0  0.00008  0.000108   0.03   0.000172    0.017%
  170    99.8%  41.0  0.00008  0.000098   0.03   0.000171    0.017%
  171    99.8%  41.0  0.00008  0.000120   0.03   0.000171    0.017%
  172    99.8%  41.0  0.00008  0.000125   0.03   0.000171    0.017%
  173    99.8%  41.0  0.00008  0.000126   0.03   0.000170    0.017%
  174    99.8%  40.9  0.00008  0.000201   0.03   0.000171    0.017%
  175    99.8%  40.9  0.00008  0.000280   0.03   0.000171    0.017%
  176    99.8%  40.9  0.00008  0.000316   0.03   0.000172    0.017%
  177    99.8%  41.0  0.00008  0.000148   0.03   0.000172    0.017%
  178    99.7%  41.0  0.00008  0.000130   0.03   0.000172    0.017%
  179    99.7%  41.0  0.00008  0.000142   0.03   0.000172    0.017%
