OTU,Kingdom,Phylum,Class,Order,Family ,Genus
BOTU_6397,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,uncultured
BOTU_6385,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,Parachlamydiaceae,Neochlamydia
BOTU_6353,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,unidentified
BOTU_6312,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,uncultured
BOTU_6396,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,uncultured
BOTU_6287,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
BOTU_6355,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,Aquicella
BOTU_6347,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella
BOTU_6391,Bacteria,Cyanobacteria,Cyanobacteriia,Leptolyngbyales,Leptolyngbyaceae,Phormidesmis_ANT.L52.6
BOTU_6351,Bacteria,Latescibacterota,Latescibacterota,Latescibacterota,Latescibacterota,Latescibacterota
BOTU_6317,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,uncultured
BOTU_6335,Bacteria,Desulfobacterota,uncultured,uncultured,uncultured,uncultured
BOTU_6405,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,uncultured
BOTU_6376,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,uncultured,uncultured
BOTU_6394,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,unidentified
BOTU_6365,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Iamiaceae,Iamia
BOTU_6414,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,uncultured
BOTU_6364,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,unidentified
BOTU_6344,Bacteria,Proteobacteria,Gammaproteobacteria,unidentified,unidentified,unidentified
BOTU_6372,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium
BOTU_6298,Bacteria,Firmicutes,Clostridia,Clostridia,Hungateiclostridiaceae,unidentified
BOTU_6340,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella
BOTU_6442,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified
BOTU_6409,Bacteria,Chloroflexi,Chloroflexia,Kallotenuales,AKIW781,AKIW781
BOTU_6424,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus_Omnitrophus
BOTU_6411,Bacteria,Planctomycetota,vadinHA49,vadinHA49,vadinHA49,vadinHA49
BOTU_6398,Bacteria,Myxococcota,Myxococcia,Myxococcales,Anaeromyxobacteraceae,Anaeromyxobacter
BOTU_6384,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,unidentified
BOTU_6400,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,Parachlamydiaceae,unidentified
BOTU_6416,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,A4b
BOTU_6322,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
BOTU_6374,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,uncultured
BOTU_6420,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,Pedosphaeraceae
BOTU_6425,Bacteria,Dependentiae,Babeliae,Babeliales,UBA12411,UBA12411
BOTU_6433,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadales,Saccharimonadales
BOTU_6403,Bacteria,Gemmatimonadota,Longimicrobia,Longimicrobiales,Longimicrobiaceae,Longimicrobiaceae
BOTU_6415,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified
BOTU_6389,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium
BOTU_6387,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,67-14
BOTU_6383,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella
BOTU_6348,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,unidentified,unidentified
BOTU_6412,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,67-14
BOTU_6381,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,SWB02
BOTU_6357,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,alphaI_cluster
