"","OTU","Kingdom","Phylum","Class","Order","Family","Genus","Species","Lowest_Taxonomic_Rank","Label"
"FOTU_1716","FOTU_1716","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Gnomoniaceae","Plagiostoma","unidentified","Plagiostoma","FOTU_1716_Plagiostoma"
"FOTU_1717","FOTU_1717","Fungi","Basidiomycota","unidentified","unidentified","unidentified","unidentified","unidentified","Basidiomycota","FOTU_1717_Basidiomycota"
"FOTU_1718","FOTU_1718","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Ilyonectria","vredehoekensis","Ilyonectria_vredehoekensis","FOTU_1718_Ilyonectria_vredehoekensis"
"FOTU_1719","FOTU_1719","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Coprinopsis","friesii","Coprinopsis_friesii","FOTU_1719_Coprinopsis_friesii"
"FOTU_1720","FOTU_1720","Fungi","Ascomycota","Sordariomycetes","Sordariales","Cephalothecaceae","Phialemonium","inflatum","Phialemonium_inflatum","FOTU_1720_Phialemonium_inflatum"
"FOTU_1721","FOTU_1721","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","Fungi","FOTU_1721_Fungi"
"FOTU_1722","FOTU_1722","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","Fungi","FOTU_1722_Fungi"
"FOTU_1723","FOTU_1723","Fungi","Ascomycota","Sordariomycetes","Xylariales","Amphisphaeriaceae","Microdochium","seminicola","Microdochium_seminicola","FOTU_1723_Microdochium_seminicola"
"FOTU_1724","FOTU_1724","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Cercophora","fici","Cercophora_fici","FOTU_1724_Cercophora_fici"
"FOTU_1725","FOTU_1725","Fungi","Ascomycota","Sordariomycetes","Chaetosphaeriales","Chaetosphaeriaceae","Sporoschisma","hemipsilum","Sporoschisma_hemipsilum","FOTU_1725_Sporoschisma_hemipsilum"
"FOTU_1726","FOTU_1726","Fungi","Ascomycota","Dothideomycetes","Pleosporales","unidentified","unidentified","unidentified","Pleosporales","FOTU_1726_Pleosporales"
"FOTU_1727","FOTU_1727","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","unidentified","unidentified","Chaetomiaceae","FOTU_1727_Chaetomiaceae"
